"información sobre las empresas que están presentes en México y el tipo de presencia que tienen, así como si es un mercado que consideran relevante para su empresa o de potencial de futuro en los próximos 3-5 años.",,,,,,,,,,,,,,,
Empresa,Pais,Potencial,Relevante,"Agente / Distribuidor Local","Entidad Financiera","Establecimiento Hotelero","Filial Comercial","Filial Industrial",Franquicia,"Joint Venture","Oficina de Representación",Online,"Tienda Propia","Venta Directa",Otros
Repsol,México,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
"Riu Hotels & Resorts",México,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Roberto Verino Difusión",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Roca,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Rolser,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO
Royo,México,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
"SEAT S.A.",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sacyr,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
Salicru,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Santander,México,NO,SI,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Santiveri,México,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Sener,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO
"Simon Holding",México,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
TALGO,México,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Telefónica,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
Tendam,México,SI,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO
Tous,México,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Uría Menéndez Abogados",México,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO
"Uría Menéndez Abogados",México,SI,NO,NO,NO,NO,SI,NO,NO,SI,SI,NO,NO,NO,NO
Velatia,México,SI,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO
"Vichy Catalán",México,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Vicky Foods",México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ViniGalicia,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Vinícola de Castilla",México,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Vivanco,México,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
"Válvulas ARCO",México,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ZUMEX,México,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO
"Zamora Company",México,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
eLPOZO,México,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO
